,IP,Pit,Str,BA,OBP,SLG,OPS,SO
2355,5.1,109.0,71.0,0.243,0.309,0.425,0.734,3.0
2356,5.0,92.0,58.0,0.256,0.325,0.445,0.77,2.0
2357,7.0,95.0,62.0,0.253,0.332,0.451,0.783,3.0
2358,5.1,90.0,54.0,0.259,0.328,0.449,0.777,4.0
2359,8.0,103.0,65.0,0.244,0.32,0.417,0.738,4.0
2360,4.0,98.0,55.0,0.256,0.334,0.435,0.769,5.0
2361,6.0,90.0,61.0,0.245,0.321,0.42,0.741,3.0
2362,6.0,100.0,61.0,0.242,0.308,0.426,0.734,5.0
2363,5.0,79.0,56.0,0.255,0.325,0.432,0.757,6.0
2364,6.2,92.0,63.0,0.267,0.325,0.455,0.78,7.0
2365,7.0,96.0,61.0,0.244,0.319,0.401,0.72,9.0
2366,8.0,114.0,72.0,0.243,0.309,0.433,0.742,2.0
2367,5.0,96.0,58.0,0.266,0.326,0.455,0.781,6.0
2368,6.0,80.0,50.0,0.258,0.323,0.457,0.78,6.0
2369,5.0,114.0,71.0,0.254,0.332,0.456,0.788,5.0
2370,5.1,80.0,50.0,0.264,0.347,0.465,0.812,5.0
2371,6.0,110.0,77.0,0.237,0.297,0.401,0.698,5.0
2372,4.0,89.0,57.0,0.229,0.291,0.335,0.626,6.0
2373,6.0,107.0,68.0,0.26,0.336,0.442,0.778,4.0
2374,5.1,80.0,50.0,0.261,0.326,0.462,0.788,7.0
2375,4.0,86.0,54.0,0.214,0.292,0.391,0.683,0.0
2376,5.0,86.0,60.0,0.211,0.287,0.392,0.679,5.0
2377,5.0,79.0,53.0,0.257,0.347,0.46,0.807,4.0
2378,5.1,85.0,60.0,0.232,0.3,0.388,0.688,1.0
2379,5.0,80.0,50.0,0.264,0.344,0.464,0.808,4.0
2380,7.0,90.0,61.0,0.208,0.272,0.323,0.595,7.0
2381,4.2,74.0,48.0,0.226,0.288,0.342,0.63,7.0
2382,5.0,80.0,50.0,0.246,0.306,0.369,0.675,4.0
2383,6.0,99.0,70.0,0.249,0.31,0.4,0.71,7.0
2384,6.0,95.0,61.0,0.224,0.3,0.373,0.673,7.0
2385,4.1,90.0,56.0,0.26,0.332,0.436,0.769,7.0
2386,6.0,89.0,55.0,0.237,0.313,0.384,0.697,2.0
2387,6.0,88.0,60.0,0.254,0.328,0.425,0.753,4.0
2388,6.0,93.0,54.0,0.259,0.315,0.4,0.715,6.0
2389,6.0,104.0,66.0,0.253,0.322,0.419,0.741,4.0
2390,5.0,87.0,59.0,0.253,0.323,0.419,0.742,9.0
2391,3.1,71.0,46.0,0.251,0.339,0.459,0.797,4.0
2392,7.0,104.0,67.0,0.253,0.313,0.405,0.718,2.0
2393,7.0,84.0,54.0,0.236,0.312,0.385,0.697,9.0
2394,6.0,99.0,69.0,0.23,0.299,0.368,0.667,8.0
2395,5.1,92.0,57.0,0.259,0.322,0.423,0.745,7.0
2396,6.0,99.0,62.0,0.256,0.331,0.442,0.774,5.0
2397,6.0,94.0,63.0,0.257,0.335,0.413,0.748,6.0
2398,5.0,84.0,57.0,0.262,0.318,0.394,0.712,6.0
2399,5.0,66.0,45.0,0.254,0.33,0.422,0.752,4.0
2400,2.0,42.0,25.0,0.233,0.297,0.388,0.685,5.0
2401,6.0,84.0,54.0,0.22,0.3,0.386,0.686,2.0
2402,6.0,97.0,64.0,0.244,0.322,0.357,0.679,5.0
2403,5.0,98.0,62.0,0.276,0.346,0.448,0.794,5.0
2404,6.0,100.0,66.0,0.264,0.308,0.419,0.727,3.0
2405,3.2,93.0,60.0,0.271,0.355,0.434,0.789,6.0
2406,6.0,109.0,65.0,0.263,0.344,0.416,0.761,5.0
2407,7.0,93.0,69.0,0.255,0.305,0.44,0.744,5.0
2408,5.0,106.0,69.0,0.258,0.328,0.416,0.744,4.0
2409,4.0,80.0,51.0,0.229,0.304,0.4,0.704,2.0
2410,6.1,84.0,56.0,0.261,0.327,0.43,0.756,4.0
2411,5.0,83.0,55.0,0.256,0.322,0.419,0.741,7.0
2412,6.0,89.0,55.0,0.232,0.31,0.375,0.686,5.0
2413,5.0,95.0,57.0,0.237,0.318,0.399,0.717,5.0
2414,5.0,90.0,56.0,0.243,0.319,0.4,0.719,2.0
2415,6.1,106.0,71.0,0.247,0.325,0.398,0.723,8.0
2416,1.1,17.0,13.0,0.258,0.339,0.418,0.756,6.0
2417,2.2,64.0,37.0,0.259,0.323,0.421,0.744,1.0
2418,5.0,104.0,58.0,0.232,0.322,0.398,0.72,3.0
2419,6.0,98.0,66.0,0.25,0.325,0.427,0.752,9.0
2420,5.2,95.0,51.0,0.245,0.314,0.399,0.713,8.0
2421,5.0,82.0,55.0,0.264,0.334,0.468,0.802,4.0
2422,6.0,101.0,63.0,0.255,0.318,0.411,0.729,3.0
2423,7.0,106.0,75.0,0.23,0.294,0.383,0.677,6.0
2424,4.2,103.0,60.0,0.225,0.316,0.386,0.702,11.0
2425,5.1,93.0,60.0,0.25,0.306,0.387,0.693,5.0
2426,4.0,96.0,58.0,0.237,0.324,0.382,0.705,7.0
2427,6.0,95.0,63.0,0.27,0.324,0.435,0.76,3.0
2428,4.0,102.0,66.0,0.276,0.346,0.451,0.797,9.0
2429,6.0,101.0,66.0,0.234,0.329,0.378,0.707,4.0
2430,6.0,103.0,66.0,0.249,0.348,0.428,0.776,10.0
2431,3.2,88.0,53.0,0.24,0.336,0.405,0.741,7.0
2432,6.0,98.0,64.0,0.248,0.296,0.387,0.683,6.0
2433,5.1,93.0,56.0,0.262,0.345,0.408,0.753,6.0
2434,0.1,17.0,6.0,0.223,0.302,0.383,0.685,1.0
2435,3.1,83.0,54.0,0.235,0.32,0.395,0.714,1.0
2436,5.2,100.0,57.0,0.252,0.329,0.431,0.76,2.0
2437,5.0,97.0,57.0,0.246,0.315,0.412,0.727,3.0
2438,4.0,79.0,53.0,0.26,0.323,0.394,0.717,4.0
2439,2.1,63.0,38.0,0.257,0.321,0.39,0.711,1.0
2440,6.0,108.0,71.0,0.231,0.308,0.399,0.707,3.0
2441,7.0,93.0,66.0,0.221,0.294,0.348,0.643,10.0
2442,6.0,80.0,50.0,0.244,0.326,0.39,0.716,9.0
2443,3.0,40.0,30.0,0.253,0.315,0.424,0.739,6.0
2444,5.0,89.0,57.0,0.235,0.313,0.362,0.675,4.0
2445,5.2,80.0,50.0,0.252,0.318,0.396,0.714,6.0
2446,5.0,102.0,69.0,0.195,0.268,0.302,0.57,2.0
2447,5.0,80.0,50.0,0.177,0.247,0.277,0.524,10.0
2448,5.1,73.0,44.0,0.234,0.326,0.383,0.709,7.0
2449,2.0,80.0,50.0,0.244,0.319,0.435,0.755,2.0
2450,3.0,35.0,23.0,0.249,0.329,0.442,0.771,3.0
2451,1.0,10.0,7.0,0.241,0.312,0.402,0.714,2.0
2452,1.1,16.0,11.0,0.24,0.327,0.42,0.747,1.0
2453,1.0,19.0,11.0,0.237,0.312,0.381,0.693,1.0
2454,3.0,80.0,50.0,0.249,0.312,0.416,0.728,1.0
2455,2.0,80.0,50.0,0.238,0.317,0.403,0.72,1.0
2456,4.0,62.0,41.0,0.248,0.316,0.408,0.724,2.0
2457,4.2,84.0,56.0,0.238,0.304,0.378,0.683,3.0
2458,3.0,57.0,42.0,0.233,0.31,0.375,0.685,7.0
2459,4.0,81.0,52.0,0.245,0.312,0.396,0.709,1.0
2460,4.0,73.0,42.0,0.233,0.301,0.37,0.671,2.0
2461,2.0,29.0,19.0,0.245,0.312,0.393,0.706,4.0
2462,5.1,71.0,44.0,0.251,0.323,0.406,0.729,1.0
2463,4.0,80.0,50.0,0.251,0.331,0.422,0.754,2.0
2464,3.0,47.0,32.0,0.241,0.307,0.385,0.692,5.0
2465,5.0,81.0,47.0,0.237,0.315,0.408,0.722,1.0
2466,5.0,88.0,57.0,0.241,0.322,0.412,0.734,4.0
2467,4.0,80.0,50.0,0.209,0.296,0.354,0.649,2.0
2468,4.0,80.0,50.0,0.198,0.279,0.358,0.637,5.0
2469,4.0,69.0,41.0,0.231,0.305,0.399,0.704,2.0
2470,3.0,54.0,32.0,0.229,0.316,0.41,0.727,0.0
2471,3.0,37.0,25.0,0.226,0.306,0.349,0.655,3.0
2472,1.0,19.0,10.0,0.229,0.32,0.407,0.727,1.0
2473,5.2,89.0,56.0,0.245,0.342,0.432,0.774,0.0
2474,3.2,80.0,50.0,0.282,0.375,0.486,0.861,6.0
2475,2.0,31.0,18.0,0.229,0.302,0.374,0.676,3.0
2476,1.0,80.0,50.0,0.201,0.268,0.392,0.66,3.0
2477,3.0,80.0,50.0,0.226,0.248,0.406,0.653,1.0
2478,7.0,104.0,62.0,0.249,0.31,0.4,0.71,7.0
2479,6.0,91.0,54.0,0.257,0.342,0.458,0.8,10.0
2480,6.0,103.0,59.0,0.26,0.332,0.436,0.768,8.0
2481,6.0,113.0,66.0,0.238,0.313,0.386,0.699,8.0
2482,7.0,109.0,59.0,0.254,0.328,0.425,0.753,8.0
2483,6.0,96.0,58.0,0.26,0.316,0.402,0.717,9.0
2484,6.0,92.0,55.0,0.25,0.317,0.419,0.736,8.0
2485,6.0,98.0,58.0,0.252,0.322,0.417,0.739,5.0
2486,5.0,108.0,60.0,0.249,0.338,0.456,0.793,7.0
2487,5.0,101.0,61.0,0.272,0.342,0.457,0.799,8.0
2488,6.0,102.0,54.0,0.236,0.313,0.384,0.697,9.0
2489,5.0,106.0,55.0,0.261,0.329,0.416,0.745,4.0
2490,5.0,82.0,53.0,0.259,0.322,0.422,0.744,4.0
2491,6.0,105.0,61.0,0.242,0.321,0.406,0.727,7.0
2492,5.0,100.0,55.0,0.257,0.332,0.444,0.777,11.0
2493,6.0,102.0,63.0,0.24,0.317,0.389,0.706,7.0
2494,6.0,97.0,57.0,0.252,0.328,0.417,0.745,10.0
2495,6.0,102.0,68.0,0.262,0.336,0.468,0.804,11.0
2496,7.0,85.0,57.0,0.258,0.317,0.404,0.721,12.0
2497,6.0,109.0,67.0,0.249,0.329,0.404,0.733,12.0
2498,6.0,97.0,60.0,0.258,0.319,0.396,0.715,8.0
2499,5.0,99.0,53.0,0.265,0.325,0.384,0.709,7.0
2500,4.0,87.0,50.0,0.271,0.341,0.451,0.792,6.0
2501,6.0,101.0,57.0,0.23,0.326,0.449,0.775,5.0
2502,6.0,97.0,51.0,0.234,0.328,0.448,0.776,4.0
2503,6.0,101.0,67.0,0.247,0.326,0.365,0.691,6.0
2504,5.0,105.0,58.0,0.278,0.351,0.446,0.797,7.0
2505,5.0,95.0,54.0,0.269,0.351,0.458,0.809,5.0
2506,5.0,100.0,53.0,0.218,0.326,0.356,0.682,5.0
2507,3.2,88.0,43.0,0.29,0.357,0.484,0.841,5.0
2508,4.1,93.0,56.0,0.386,0.4,0.682,1.082,2.0
2509,5.0,80.0,50.0,0.258,0.335,0.446,0.781,6.0
2510,7.0,117.0,70.0,0.253,0.326,0.421,0.746,6.0
2511,7.0,95.0,59.0,0.231,0.308,0.39,0.698,13.0
2512,4.0,88.0,52.0,0.261,0.337,0.452,0.789,7.0
2513,6.0,98.0,65.0,0.232,0.309,0.389,0.699,5.0
2514,6.0,105.0,62.0,0.233,0.316,0.389,0.705,10.0
2515,3.1,79.0,57.0,0.252,0.314,0.387,0.701,8.0
2516,5.0,98.0,63.0,0.248,0.314,0.375,0.688,4.0
2517,6.0,103.0,67.0,0.248,0.315,0.375,0.689,7.0
2518,5.2,103.0,69.0,0.234,0.317,0.393,0.71,10.0
2519,6.0,106.0,75.0,0.26,0.323,0.403,0.726,8.0
2520,6.0,93.0,58.0,0.252,0.322,0.419,0.741,9.0
2521,5.0,85.0,57.0,0.251,0.323,0.393,0.716,7.0
2522,3.2,99.0,53.0,0.26,0.323,0.404,0.727,5.0
2523,6.0,108.0,71.0,0.233,0.318,0.39,0.709,5.0
2524,5.0,107.0,62.0,0.252,0.329,0.43,0.759,11.0
2525,5.2,94.0,60.0,0.245,0.315,0.411,0.726,12.0
2526,4.2,89.0,49.0,0.261,0.324,0.4,0.723,4.0
2527,6.0,94.0,62.0,0.257,0.32,0.388,0.709,5.0
2528,4.0,95.0,59.0,0.267,0.338,0.412,0.749,7.0
2529,6.0,80.0,50.0,0.252,0.321,0.395,0.716,4.0
2530,5.1,104.0,63.0,0.236,0.313,0.408,0.721,6.0
2531,3.2,84.0,46.0,0.251,0.314,0.421,0.735,7.0
2532,7.0,100.0,70.0,0.248,0.309,0.413,0.722,0.0
2533,7.0,107.0,67.0,0.236,0.31,0.38,0.69,11.0
2534,7.2,80.0,50.0,0.244,0.333,0.424,0.756,10.0
2535,5.0,80.0,50.0,0.238,0.316,0.401,0.718,10.0
2536,5.0,80.0,50.0,0.234,0.31,0.376,0.686,9.0
2537,7.0,108.0,72.0,0.232,0.308,0.373,0.68,6.0
2538,5.0,105.0,65.0,0.233,0.312,0.402,0.713,13.0
2539,4.0,86.0,52.0,0.234,0.312,0.406,0.718,6.0
2540,6.0,92.0,54.0,0.233,0.301,0.371,0.671,1.0
2541,4.0,74.0,42.0,0.255,0.326,0.41,0.736,8.0
2542,4.0,80.0,50.0,0.237,0.312,0.388,0.7,3.0
2543,5.0,99.0,61.0,0.242,0.34,0.412,0.751,3.0
2544,3.1,75.0,45.0,0.245,0.309,0.393,0.703,5.0
2545,4.0,71.0,40.0,0.238,0.316,0.384,0.7,1.0
2546,7.0,101.0,67.0,0.232,0.312,0.364,0.676,4.0
2547,3.0,81.0,43.0,0.264,0.333,0.423,0.756,10.0
2548,3.2,81.0,45.0,0.213,0.3,0.359,0.659,3.0
2549,6.0,80.0,50.0,0.244,0.308,0.395,0.704,7.0
2550,4.0,80.0,50.0,0.241,0.304,0.391,0.695,11.0
2551,4.2,95.0,47.0,0.225,0.314,0.405,0.719,7.0
2552,5.0,91.0,52.0,0.222,0.303,0.39,0.693,5.0
2553,5.1,87.0,54.0,0.245,0.342,0.418,0.761,6.0
2554,5.0,95.0,56.0,0.262,0.354,0.456,0.811,7.0
2555,0.2,38.0,21.0,0.238,0.329,0.378,0.707,7.0
2556,5.0,80.0,50.0,0.201,0.268,0.392,0.66,1.0
2557,4.2,86.0,53.0,0.263,0.291,0.513,0.804,8.0
2558,5.1,73.0,47.0,0.257,0.321,0.432,0.753,9.0
2559,5.1,103.0,62.0,0.265,0.328,0.449,0.777,4.0
2560,5.0,92.0,57.0,0.234,0.311,0.37,0.681,5.0
2561,5.0,75.0,43.0,0.237,0.314,0.364,0.678,8.0
2562,5.2,101.0,66.0,0.245,0.311,0.445,0.755,5.0
2563,5.0,92.0,54.0,0.259,0.35,0.482,0.832,9.0
2564,5.0,70.0,48.0,0.249,0.31,0.413,0.723,3.0
2565,3.0,59.0,32.0,0.244,0.326,0.456,0.782,6.0
2566,3.0,53.0,37.0,0.244,0.323,0.463,0.786,5.0
2567,2.0,46.0,26.0,0.273,0.32,0.355,0.674,4.0
2568,1.2,52.0,29.0,0.268,0.339,0.466,0.805,4.0
2569,2.0,26.0,17.0,0.257,0.337,0.471,0.808,3.0
2570,6.0,109.0,70.0,0.256,0.312,0.407,0.718,4.0
2571,5.0,93.0,56.0,0.265,0.34,0.462,0.802,10.0
2572,5.0,93.0,62.0,0.266,0.341,0.466,0.807,4.0
2573,6.0,80.0,56.0,0.254,0.329,0.446,0.775,5.0
2574,3.1,80.0,56.0,0.273,0.339,0.504,0.843,12.0
2575,0.1,39.0,19.0,0.259,0.336,0.45,0.786,4.0
2576,3.1,80.0,50.0,0.257,0.337,0.434,0.77,0.0
2577,6.0,105.0,65.0,0.257,0.336,0.435,0.772,3.0
2578,4.1,80.0,50.0,0.229,0.291,0.38,0.671,7.0
2579,6.0,80.0,50.0,0.219,0.284,0.376,0.661,8.0
2580,6.2,104.0,65.0,0.222,0.309,0.361,0.67,5.0
2581,6.0,93.0,58.0,0.251,0.326,0.428,0.755,7.0
2582,5.2,80.0,50.0,0.253,0.333,0.43,0.763,9.0
2583,6.0,83.0,61.0,0.262,0.324,0.466,0.79,12.0
2584,3.0,75.0,43.0,0.242,0.316,0.424,0.74,9.0
2585,3.1,80.0,50.0,0.242,0.317,0.434,0.75,2.0
2586,6.0,82.0,52.0,0.201,0.28,0.339,0.618,3.0
2587,6.0,100.0,66.0,0.25,0.317,0.405,0.722,9.0
2588,7.0,102.0,67.0,0.208,0.256,0.294,0.55,11.0
2589,6.0,91.0,55.0,0.286,0.324,0.629,0.953,13.0
2590,5.0,76.0,45.0,0.269,0.335,0.456,0.791,4.0
2591,4.2,80.0,50.0,0.271,0.337,0.46,0.797,3.0
2592,6.0,80.0,50.0,0.234,0.321,0.411,0.732,6.0
2593,5.1,82.0,56.0,0.213,0.297,0.352,0.649,5.0
2594,6.0,94.0,61.0,0.238,0.331,0.409,0.74,7.0
2595,3.1,61.0,41.0,0.268,0.335,0.442,0.776,3.0
2596,2.0,80.0,50.0,0.191,0.282,0.307,0.589,3.0
2597,2.0,27.0,17.0,0.243,0.321,0.413,0.733,4.0
2598,1.0,5.0,3.0,0.28,0.375,0.5,0.875,1.0
2599,1.0,16.0,11.0,0.25,0.329,0.447,0.776,0.0
2600,1.0,13.0,9.0,0.251,0.331,0.449,0.78,1.0
2601,1.1,24.0,14.0,0.258,0.326,0.449,0.776,1.0
2602,0.1,3.0,2.0,0.259,0.341,0.473,0.814,2.0
2603,1.1,80.0,50.0,0.271,0.332,0.465,0.797,0.0
2604,3.2,54.0,38.0,0.25,0.324,0.421,0.745,1.0
2605,3.0,53.0,32.0,0.231,0.292,0.337,0.628,3.0
2606,4.0,77.0,45.0,0.242,0.304,0.384,0.688,1.0
2607,5.0,80.0,50.0,0.251,0.313,0.443,0.757,2.0
2608,5.2,89.0,52.0,0.256,0.344,0.457,0.801,5.0
2609,5.2,95.0,60.0,0.267,0.356,0.462,0.817,0.0
2610,5.0,94.0,51.0,0.263,0.343,0.51,0.853,3.0
2611,4.0,82.0,55.0,0.21,0.268,0.343,0.611,4.0
2612,6.0,77.0,54.0,0.206,0.264,0.321,0.585,7.0
2613,5.0,54.0,33.0,0.211,0.293,0.429,0.723,6.0
2614,5.0,72.0,48.0,0.206,0.28,0.309,0.59,1.0
2615,6.0,86.0,65.0,0.226,0.312,0.375,0.686,4.0
2616,7.0,98.0,68.0,0.252,0.335,0.471,0.806,10.0
2617,7.2,111.0,71.0,0.26,0.322,0.422,0.743,11.0
2618,6.1,89.0,60.0,0.233,0.323,0.408,0.731,11.0
2619,5.0,90.0,54.0,0.232,0.309,0.386,0.695,6.0
2620,5.0,97.0,60.0,0.214,0.3,0.353,0.653,6.0
2621,6.0,80.0,50.0,0.246,0.313,0.382,0.695,9.0
2622,6.2,83.0,60.0,0.211,0.289,0.337,0.626,8.0
2623,5.2,84.0,51.0,0.242,0.328,0.437,0.765,11.0
2624,5.0,91.0,54.0,0.247,0.307,0.37,0.677,2.0
2625,5.0,80.0,59.0,0.188,0.212,0.297,0.509,7.0
2626,6.0,98.0,64.0,0.246,0.328,0.438,0.765,10.0
2627,5.0,74.0,49.0,0.25,0.329,0.447,0.776,14.0
2628,6.0,94.0,64.0,0.267,0.326,0.455,0.781,7.0
2629,5.0,95.0,63.0,0.243,0.307,0.406,0.713,4.0
2630,5.0,88.0,48.0,0.277,0.347,0.481,0.828,10.0
2631,6.0,92.0,62.0,0.247,0.323,0.422,0.745,5.0
2632,5.0,85.0,57.0,0.267,0.326,0.455,0.781,6.0
2633,7.0,104.0,64.0,0.242,0.319,0.438,0.757,7.0
2634,5.0,88.0,61.0,0.245,0.305,0.407,0.712,12.0
2635,4.0,80.0,50.0,0.253,0.324,0.43,0.754,5.0
2636,4.0,85.0,55.0,0.242,0.299,0.364,0.663,6.0
2637,5.0,82.0,50.0,0.263,0.337,0.464,0.801,5.0
2638,5.0,80.0,48.0,0.265,0.346,0.471,0.817,7.0
2639,6.0,63.0,45.0,0.266,0.337,0.437,0.774,4.0
2640,4.2,86.0,58.0,0.237,0.311,0.382,0.693,0.0
2641,6.0,102.0,70.0,0.233,0.311,0.405,0.717,5.0
2642,5.0,77.0,53.0,0.239,0.321,0.426,0.747,6.0
2643,5.0,80.0,52.0,0.254,0.326,0.41,0.735,1.0
2644,2.0,36.0,27.0,0.245,0.312,0.393,0.706,2.0
2645,2.0,75.0,47.0,0.253,0.325,0.408,0.733,4.0
2646,7.0,80.0,50.0,0.237,0.312,0.385,0.697,2.0
2647,2.1,72.0,50.0,0.23,0.304,0.37,0.674,5.0
2648,5.0,80.0,50.0,0.248,0.327,0.422,0.75,2.0
2649,6.0,84.0,59.0,0.237,0.314,0.384,0.698,11.0
2650,6.0,94.0,66.0,0.236,0.315,0.372,0.687,9.0
2651,4.1,93.0,57.0,0.241,0.323,0.409,0.732,6.0
2652,6.0,68.0,43.0,0.209,0.295,0.353,0.648,6.0
2653,6.0,91.0,64.0,0.197,0.279,0.356,0.635,2.0
2654,4.0,84.0,51.0,0.231,0.306,0.4,0.706,6.0
2655,3.0,53.0,30.0,0.229,0.316,0.41,0.727,2.0
2656,5.1,95.0,61.0,0.23,0.321,0.406,0.727,4.0
2657,5.0,79.0,57.0,0.211,0.296,0.364,0.661,5.0
2658,5.0,99.0,61.0,0.24,0.329,0.376,0.705,7.0
2659,4.0,71.0,44.0,0.229,0.302,0.374,0.676,4.0
2660,4.0,80.0,50.0,0.217,0.265,0.377,0.642,3.0
2661,6.0,91.0,54.0,0.227,0.313,0.377,0.689,3.0
2662,2.0,26.0,18.0,0.27,0.336,0.458,0.794,3.0
2663,4.2,82.0,52.0,0.225,0.323,0.406,0.729,4.0
2664,6.0,85.0,60.0,0.262,0.325,0.421,0.746,6.0
2665,5.0,93.0,66.0,0.228,0.304,0.378,0.682,8.0
2666,6.0,93.0,56.0,0.214,0.299,0.35,0.65,7.0
2667,3.0,52.0,35.0,0.239,0.32,0.453,0.774,5.0
2668,5.2,95.0,56.0,0.215,0.29,0.329,0.619,1.0
2669,6.0,88.0,54.0,0.247,0.329,0.449,0.778,6.0
2670,5.0,89.0,58.0,0.239,0.288,0.36,0.648,5.0
2671,6.0,81.0,63.0,0.219,0.242,0.344,0.586,6.0
2672,6.0,80.0,50.0,0.25,0.329,0.448,0.778,9.0
2673,5.1,90.0,59.0,0.258,0.327,0.448,0.775,7.0
2674,7.0,92.0,67.0,0.242,0.306,0.404,0.71,8.0
2675,2.1,62.0,37.0,0.277,0.347,0.481,0.828,8.0
2676,4.2,93.0,67.0,0.247,0.324,0.422,0.746,0.0
2677,6.0,86.0,62.0,0.266,0.325,0.454,0.779,6.0
2678,4.0,77.0,53.0,0.26,0.341,0.468,0.809,5.0
2679,5.1,93.0,59.0,0.244,0.304,0.407,0.711,6.0
2680,5.0,88.0,59.0,0.253,0.324,0.432,0.756,5.0
2681,7.2,94.0,65.0,0.241,0.299,0.363,0.661,4.0
2682,5.2,96.0,71.0,0.263,0.344,0.466,0.81,8.0
2683,6.0,97.0,72.0,0.242,0.318,0.397,0.715,6.0
2684,5.0,80.0,50.0,0.261,0.319,0.416,0.735,8.0
2685,5.0,85.0,57.0,0.222,0.289,0.364,0.653,1.0
2686,4.1,91.0,65.0,0.244,0.324,0.416,0.741,6.0
2687,5.0,86.0,61.0,0.257,0.334,0.45,0.784,4.0
2688,6.0,80.0,50.0,0.255,0.322,0.45,0.772,6.0
2689,4.2,92.0,62.0,0.255,0.344,0.456,0.8,7.0
2690,7.2,91.0,66.0,0.243,0.321,0.388,0.709,3.0
2691,6.0,89.0,68.0,0.266,0.353,0.455,0.808,11.0
2692,7.0,83.0,59.0,0.257,0.337,0.497,0.834,5.0
2693,6.0,88.0,60.0,0.198,0.266,0.378,0.644,9.0
2694,5.1,88.0,66.0,0.264,0.318,0.475,0.793,5.0
2695,3.2,89.0,56.0,0.217,0.303,0.427,0.73,5.0
2696,5.0,80.0,50.0,0.177,0.25,0.266,0.516,4.0
2697,4.0,85.0,51.0,0.246,0.327,0.438,0.765,6.0
2698,3.2,80.0,50.0,0.266,0.325,0.454,0.779,7.0
2699,6.0,90.0,52.0,0.266,0.326,0.453,0.779,2.0
2700,6.0,102.0,62.0,0.243,0.307,0.406,0.712,8.0
2701,5.0,73.0,47.0,0.276,0.346,0.479,0.825,3.0
2702,6.0,109.0,69.0,0.246,0.322,0.42,0.742,3.0
2703,4.2,94.0,54.0,0.255,0.328,0.433,0.761,4.0
2704,5.1,102.0,67.0,0.241,0.319,0.438,0.757,6.0
2705,5.2,99.0,59.0,0.26,0.342,0.468,0.811,8.0
2706,6.0,97.0,60.0,0.235,0.301,0.395,0.696,4.0
2707,4.1,97.0,60.0,0.256,0.337,0.458,0.795,8.0
2708,5.0,80.0,50.0,0.263,0.337,0.464,0.801,3.0
2709,6.1,91.0,59.0,0.263,0.342,0.466,0.808,4.0
2710,5.1,87.0,51.0,0.241,0.318,0.395,0.713,4.0
2711,5.0,80.0,50.0,0.263,0.32,0.417,0.737,6.0
2712,7.0,103.0,62.0,0.252,0.331,0.452,0.783,4.0
2713,6.0,90.0,55.0,0.222,0.289,0.364,0.653,5.0
2714,5.0,95.0,60.0,0.249,0.324,0.421,0.745,6.0
2715,6.1,86.0,54.0,0.229,0.29,0.335,0.625,5.0
2716,6.2,95.0,66.0,0.216,0.282,0.368,0.651,5.0
2717,7.0,77.0,52.0,0.24,0.301,0.377,0.678,11.0
2718,5.1,71.0,46.0,0.247,0.31,0.435,0.746,6.0
2719,5.0,100.0,64.0,0.256,0.344,0.456,0.799,4.0
2720,4.0,84.0,51.0,0.257,0.334,0.451,0.785,2.0
2721,5.2,92.0,58.0,0.197,0.261,0.374,0.635,5.0
2722,7.0,89.0,58.0,0.204,0.262,0.325,0.588,8.0
2723,4.0,76.0,46.0,0.206,0.267,0.315,0.582,4.0
2724,5.0,83.0,55.0,0.28,0.324,0.526,0.85,4.0
2725,5.1,87.0,56.0,0.175,0.235,0.27,0.505,6.0
2726,3.2,81.0,49.0,0.246,0.325,0.41,0.734,4.0
2727,4.2,88.0,45.0,0.226,0.304,0.398,0.703,5.0
2728,5.1,73.0,44.0,0.276,0.344,0.501,0.845,2.0
2729,6.0,84.0,51.0,0.235,0.315,0.378,0.693,0.0
2730,5.0,81.0,51.0,0.24,0.297,0.389,0.686,4.0
2731,3.1,90.0,55.0,0.257,0.332,0.431,0.763,5.0
2732,3.1,67.0,38.0,0.243,0.328,0.446,0.774,5.0
2733,4.2,69.0,40.0,0.233,0.322,0.396,0.718,3.0
2734,8.0,97.0,67.0,0.26,0.321,0.394,0.714,0.0
2735,4.2,84.0,52.0,0.228,0.306,0.376,0.683,5.0
2736,5.1,92.0,56.0,0.245,0.326,0.394,0.719,6.0
2737,5.0,91.0,54.0,0.225,0.305,0.359,0.665,4.0
2738,2.0,30.0,18.0,0.253,0.327,0.428,0.755,1.0
2739,5.0,99.0,60.0,0.23,0.31,0.387,0.697,1.0
2740,7.2,93.0,59.0,0.271,0.341,0.454,0.795,6.0
2741,3.0,81.0,44.0,0.233,0.297,0.356,0.653,4.0
2742,5.0,74.0,50.0,0.255,0.319,0.396,0.715,3.0
2743,6.0,93.0,50.0,0.255,0.33,0.421,0.751,6.0
2744,5.0,96.0,54.0,0.226,0.304,0.398,0.701,5.0
2745,3.2,92.0,59.0,0.276,0.345,0.502,0.847,7.0
2746,3.2,97.0,48.0,0.253,0.328,0.426,0.753,4.0
2747,9.0,112.0,73.0,0.241,0.298,0.39,0.688,2.0
2748,5.0,97.0,59.0,0.257,0.331,0.432,0.763,5.0
2749,4.0,78.0,43.0,0.237,0.318,0.4,0.718,5.0
2750,5.0,93.0,61.0,0.25,0.327,0.416,0.743,3.0
2751,7.0,101.0,62.0,0.233,0.312,0.376,0.688,4.0
2752,7.0,99.0,62.0,0.231,0.299,0.366,0.665,6.0
2753,6.0,90.0,53.0,0.235,0.324,0.408,0.733,5.0
